Label (Grouping),United States!!Estimate,United States!!Margin of Error,Alabama!!Estimate,Alabama!!Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,California!!Estimate,California!!Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New York!!Estimate,New York!!Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Washington!!Estimate,Washington!!Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error
        65 to 74 years,"13,070,816","±10,930","209,681","±1,014","23,581",±634,"318,638","±2,012","135,273","±1,446","1,001,105","±4,279","239,554","±1,625","160,929","±1,089","50,598",±362,"8,524",±336,"980,473","±3,434","341,603","±1,212","23,120",±401,"90,509","±1,046","483,954","±1,841","313,036","±1,165","163,092",±632,"133,135",±707,"225,812",±821,"164,818",±990,"90,563",±674,"192,739","±1,120","319,866","±1,648","481,490","±1,168","269,110",±771,"105,214","±1,008","292,363","±1,382","61,991",±704,"91,255",±547,"110,575","±1,281","81,122",±662,"334,512","±1,623","77,326","±1,335","711,883","±2,993","436,610","±1,270","33,933",±400,"574,061","±1,193","162,653",±876,"225,546","±1,392","655,001","±1,284","53,654",±463,"235,075","±1,138","44,632",±321,"318,077","±1,213","795,284","±4,900","110,155",±593,"40,352",±242,"321,864","±1,173","333,854","±1,408","111,098",±502,"301,599",±801,"63,531","±3,020"
        75 to 84 years,"6,873,608","±25,094","117,099","±3,055","9,312",±601,"180,036","±3,783","74,939","±2,237","542,863","±6,494","111,157","±2,862","87,716","±2,810","25,209","±1,356","4,683",±724,"595,550","±8,508","182,964","±4,378","9,626","±1,075","42,918","±1,894","262,518","±4,728","160,802","±3,579","85,744","±2,284","68,287","±2,288","112,151","±3,356","85,162","±2,280","44,559","±1,822","106,527","±3,207","160,589","±4,182","237,012","±3,985","138,862","±2,783","57,193","±2,114","154,961","±3,351","28,538","±1,516","45,248","±1,627","53,859","±1,832","39,783","±1,555","183,460","±3,974","38,962","±1,965","395,816","±4,872","225,820","±3,916","17,884","±1,184","293,047","±4,085","87,318","±2,079","106,163","±2,972","348,097","±4,779","29,096","±1,763","118,153","±2,587","19,742","±1,278","164,794","±3,109","401,688","±5,642","53,826","±1,989","19,782","±1,074","169,720","±3,418","160,773","±3,378","54,581","±1,934","147,142","±2,447","43,412","±3,557"
        85 years and over,"2,961,384","±24,336","41,698","±2,943","2,059",±527,"65,255","±3,379","29,697","±2,151","247,221","±5,852","41,229","±2,674","46,785","±2,794","9,108","±1,326","1,876",±708,"234,576","±8,412","61,706","±4,231","4,744",±967,"16,342","±1,923","120,056","±4,929","67,524","±3,485","43,221","±2,107","34,635","±2,207","45,132","±3,394","35,135","±2,411","17,168","±1,847","47,244","±3,011","88,833","±4,133","106,534","±3,872","64,462","±2,760","23,845","±2,299","66,445","±3,353","11,577","±1,500","23,416","±1,601","18,808","±1,798","15,228","±1,575","92,954","±3,954","14,508","±1,784","192,999","±4,688","89,442","±3,915","10,560","±1,182","129,198","±3,932","35,078","±2,020","42,675","±2,987","172,088","±4,928","13,653","±1,745","41,252","±2,607","12,147","±1,323","61,481","±3,122","161,759","±5,921","19,241","±1,792","7,909","±1,057","70,355","±3,451","63,138","±3,373","22,513","±1,973","70,253","±2,535","17,567","±2,090"
   Combined Male Female:,"202,981,791",0,"3,281,881",0,"435,004",0,"4,241,669",0,"2,115,847",0,"15,443,776",0,"4,101,383",0,"2,354,580",0,"609,759",0,"253,842",0,"12,210,739",0,"5,602,328",0,"319,677",0,"1,548,085",0,"7,770,962",0,"5,308,520",0,"2,696,700",0,"2,230,826",0,"3,756,439",0,"2,675,200",0,"1,241,485",0,"3,018,844",0,"4,832,195",0,"7,438,013",0,"4,436,857",0,"1,654,011",0,"4,775,960",0,"939,189",0,"1,540,520",0,"1,560,010",0,"1,221,431",0,"5,062,888",0,"955,024",0,"11,022,836",0,"6,587,453",0,"644,265",0,"9,110,505",0,"2,617,058",0,"3,169,447",0,"9,704,692",0,"775,695",0,"3,301,055",0,"722,723",0,"5,097,360",0,"14,129,750",0,"2,647,741",0,"588,142",0,"5,251,112",0,"5,139,448",0,"1,617,386",0,"4,732,002",0,"914,840",0
        Under 5 years,"9,672,813",0,"163,127",0,"22,352",0,"188,036",0,"107,652",0,"689,499",0,"188,838",0,"90,781",0,"25,306",0,"12,317",0,"498,473",0,"268,278",0,"11,101",0,"86,670",0,"369,324",0,"284,468",0,"143,634",0,"119,103",0,"199,387",0,"137,151",0,"52,896",0,"136,725",0,"193,786",0,"354,056",0,"222,825",0,"84,659",0,"246,495",0,"44,239",0,"85,081",0,"63,086",0,"49,908",0,"233,641",0,"39,982",0,"519,135",0,"298,783",0,"37,459",0,"460,382",0,"130,538",0,"132,590",0,"435,258",0,"29,313",0,"150,544",0,"39,969",0,"253,917",0,"773,477",0,"173,112",0,"24,066",0,"250,440",0,"230,245",0,"77,439",0,"218,372",0,"31,193",0
0-5 years,"11,769,004",0,"197,779",0,"27,038",0,"228,891",0,"130,752",0,"831,944",0,"229,927",0,"111,684",0,"30,900",0,"14,057",0,"604,141",0,"326,871",0,"14,132",0,"107,222",0,"452,866",0,"344,147",0,"174,642",0,"145,484",0,"242,016",0,"166,683",0,"64,255",0,"166,684",0,"236,122",0,"430,667",0,"270,594",0,"102,101",0,"298,675",0,"54,986",0,"103,558",0,"77,991",0,"60,876",0,"282,695",0,"49,994",0,"626,798",0,"363,157",0,"45,196",0,"558,533",0,"159,162",0,"162,998",0,"529,055",0,"35,794",0,"184,087",0,"48,789",0,"308,798",0,"946,327",0,"213,595",0,"29,312",0,"305,129",0,"281,544",0,"94,398",0,"265,397",0,"39,408",0
        5 to 9 years,"10,480,954",0,"173,262",0,"23,429",0,"204,273",0,"115,501",0,"712,226",0,"205,444",0,"104,517",0,"27,969",0,"8,701",0,"528,338",0,"292,965",0,"15,155",0,"102,762",0,"417,709",0,"298,396",0,"155,039",0,"131,905",0,"213,147",0,"147,662",0,"56,796",0,"149,793",0,"211,679",0,"383,054",0,"238,845",0,"87,208",0,"260,899",0,"53,735",0,"92,387",0,"74,525",0,"54,838",0,"245,269",0,"50,061",0,"538,314",0,"321,872",0,"38,685",0,"490,757",0,"143,119",0,"152,042",0,"468,984",0,"32,405",0,"167,714",0,"44,100",0,"274,404",0,"864,251",0,"202,417",0,"26,231",0,"273,447",0,"256,495",0,"84,796",0,"235,125",0,"41,075",0
6-10 Years,"10,669,038",0,"177,870",0,"23,884",0,"206,082",0,"118,845",0,"729,665",0,"210,661",0,"106,814",0,"28,179",0,"8,222",0,"540,789",0,"303,529",0,"14,602",0,"103,614",0,"418,881",0,"304,660",0,"157,500",0,"133,599",0,"217,209",0,"150,818",0,"58,202",0,"151,895",0,"217,027",0,"390,524",0,"242,764",0,"90,998",0,"266,036",0,"53,527",0,"93,475",0,"75,644",0,"56,697",0,"252,876",0,"49,510",0,"545,180",0,"329,463",0,"39,066",0,"497,987",0,"146,434",0,"155,552",0,"478,527",0,"32,692",0,"170,306",0,"44,056",0,"276,909",0,"872,207",0,"203,631",0,"27,243",0,"277,228",0,"260,489",0,"86,936",0,"241,529",0,"43,037",0
        10 to 14 years,"11,421,372",0,"196,302",0,"25,702",0,"213,319",0,"132,222",0,"799,420",0,"231,529",0,"116,001",0,"29,021",0,"6,306",0,"590,594",0,"345,783",0,"12,389",0,"107,024",0,"423,570",0,"329,718",0,"167,345",0,"140,376",0,"233,458",0,"163,444",0,"63,826",0,"160,302",0,"238,420",0,"420,403",0,"258,439",0,"106,156",0,"286,586",0,"52,693",0,"97,826",0,"80,118",0,"64,131",0,"283,303",0,"47,307",0,"572,645",0,"359,827",0,"40,588",0,"526,908",0,"159,694",0,"169,594",0,"516,700",0,"33,842",0,"180,672",0,"43,878",0,"286,928",0,"904,029",0,"208,485",0,"31,289",0,"292,351",0,"276,467",0,"95,494",0,"267,147",0,"50,883",0
        15 to 17 years,"6,996,187",0,"118,686",0,"14,631",0,"131,399",0,"78,766",0,"489,236",0,"135,214",0,"78,040",0,"18,275",0,"2,949",0,"353,376",0,"203,905",0,"6,159",0,"64,398",0,"272,231",0,"203,926",0,"100,311",0,"83,269",0,"141,565",0,"96,387",0,"39,761",0,"102,613",0,"152,713",0,"265,026",0,"157,828",0,"61,786",0,"172,245",0,"32,422",0,"60,294",0,"47,241",0,"40,490",0,"179,617",0,"27,298",0,"366,174",0,"220,370",0,"22,948",0,"329,738",0,"94,141",0,"100,414",0,"322,793",0,"23,475",0,"110,824",0,"27,536",0,"179,256",0,"537,091",0,"131,822",0,"19,185",0,"175,597",0,"161,389",0,"55,944",0,"166,971",0,"30,147",0
