Label (Grouping),United States!!Estimate,United States!!Margin of Error,Alabama!!Estimate,Alabama!!Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,California!!Estimate,California!!Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New York!!Estimate,New York!!Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Washington!!Estimate,Washington!!Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error
11-17 years,"16,133,285",0,"275,728",0,"35,193",0,"302,054",0,"184,544",0,"1,128,772",0,"320,437",0,"170,841",0,"41,492",0,"7,994",0,"825,851",0,"480,531",0,"16,070",0,"150,017",0,"611,087",0,"467,700",0,"234,187",0,"195,570",0,"328,331",0,"227,142",0,"90,822",0,"230,855",0,"343,449",0,"601,348",0,"364,579",0,"146,711",0,"401,514",0,"74,576",0,"138,555",0,"111,335",0,"91,795",0,"406,259",0,"65,144",0,"824,290",0,"508,232",0,"55,418",0,"751,264",0,"221,896",0,"236,089",0,"736,153",0,"50,549",0,"255,362",0,"62,638",0,"408,798",0,"1,260,314",0,"298,610",0,"44,216",0,"409,478",0,"382,563",0,"132,339",0,"380,689",0,"70,853",0
        18 and 19 years,"4,871,468",0,"79,595",0,"9,526",0,"93,884",0,"53,505",0,"336,905",0,"95,883",0,"63,057",0,"13,854",0,"9,301",0,"237,801",0,"147,221",0,"5,174",0,"41,392",0,"186,096",0,"137,816",0,"72,304",0,"63,548",0,"97,769",0,"58,539",0,"25,460",0,"67,965",0,"136,194",0,"180,944",0,"102,979",0,"44,251",0,"127,516",0,"21,439",0,"42,058",0,"26,896",0,"30,148",0,"108,385",0,"21,009",0,"265,059",0,"163,838",0,"20,288",0,"226,995",0,"63,830",0,"65,434",0,"237,878",0,"23,843",0,"84,436",0,"19,867",0,"117,399",0,"344,965",0,"78,236",0,"17,976",0,"134,103",0,"100,901",0,"38,119",0,"117,222",0,"25,439",0
        20 to 24 years,"11,992,558",0,"197,031",0,"24,840",0,"239,180",0,"126,021",0,"842,292",0,"245,009",0,"143,185",0,"29,583",0,"18,512",0,"595,159",0,"342,912",0,"22,263",0,"91,715",0,"438,394",0,"348,435",0,"178,331",0,"144,087",0,"230,930",0,"160,556",0,"67,960",0,"171,904",0,"305,648",0,"459,780",0,"253,643",0,"104,964",0,"285,649",0,"62,263",0,"98,987",0,"73,463",0,"73,628",0,"281,568",0,"45,388",0,"650,174",0,"404,168",0,"48,002",0,"547,677",0,"160,796",0,"170,384",0,"545,872",0,"50,389",0,"192,232",0,"43,726",0,"308,238",0,"874,232",0,"214,996",0,"39,774",0,"324,005",0,"286,204",0,"99,660",0,"297,720",0,"61,721",0
        25 to 29 years,"12,512,538",0,"194,466",0,"29,571",0,"257,076",0,"121,706",0,"971,996",0,"304,272",0,"132,054",0,"33,140",0,"34,024",0,"667,130",0,"347,739",0,"21,397",0,"95,576",0,"474,575",0,"330,499",0,"162,150",0,"135,673",0,"236,486",0,"156,504",0,"71,067",0,"179,565",0,"311,512",0,"458,813",0,"266,439",0,"88,383",0,"290,526",0,"55,846",0,"95,103",0,"93,981",0,"75,016",0,"289,719",0,"59,524",0,"704,549",0,"402,170",0,"42,860",0,"561,888",0,"156,607",0,"202,431",0,"571,591",0,"46,294",0,"188,871",0,"41,589",0,"329,698",0,"926,716",0,"193,775",0,"34,347",0,"332,648",0,"338,196",0,"89,961",0,"277,501",0,"56,462",0
        30 to 34 years,"13,159,395",0,"199,841",0,"34,989",0,"263,699",0,"131,467",0,"1,105,891",0,"324,688",0,"130,677",0,"38,834",0,"36,762",0,"719,578",0,"359,147",0,"23,782",0,"97,422",0,"500,452",0,"332,545",0,"157,508",0,"137,458",0,"232,159",0,"176,771",0,"77,163",0,"195,263",0,"316,957",0,"461,008",0,"275,950",0,"96,815",0,"304,065",0,"59,012",0,"92,057",0,"106,047",0,"77,603",0,"297,796",0,"60,672",0,"731,495",0,"422,250",0,"42,825",0,"579,264",0,"172,100",0,"222,800",0,"617,372",0,"51,404",0,"206,027",0,"44,151",0,"335,011",0,"978,742",0,"177,781",0,"34,996",0,"342,232",0,"378,109",0,"91,183",0,"277,511",0,"50,074",0
18-34 years,"42,535,959",0,"670,933",0,"98,926",0,"853,839",0,"432,699",0,"3,257,084",0,"969,852",0,"468,973",0,"115,411",0,"98,599",0,"2,219,668",0,"1,197,019",0,"72,616",0,"326,105",0,"1,599,517",0,"1,149,295",0,"570,293",0,"480,766",0,"797,344",0,"552,370",0,"241,650",0,"614,697",0,"1,070,311",0,"1,560,545",0,"899,011",0,"334,413",0,"1,007,756",0,"198,560",0,"328,205",0,"300,387",0,"256,395",0,"977,468",0,"186,593",0,"2,351,277",0,"1,392,426",0,"153,975",0,"1,915,824",0,"553,333",0,"661,049",0,"1,972,713",0,"171,930",0,"671,566",0,"149,333",0,"1,090,346",0,"3,124,655",0,"664,788",0,"127,093",0,"1,132,988",0,"1,103,410",0,"318,923",0,"969,954",0,"193,696",0
        35 to 44 years,"25,389,301",0,"402,825",0,"62,668",0,"496,159",0,"264,889",0,"2,011,766",0,"586,338",0,"266,679",0,"68,323",0,"50,275",0,"1,325,176",0,"698,416",0,"44,174",0,"202,532",0,"997,762",0,"660,809",0,"337,655",0,"282,158",0,"474,825",0,"353,772",0,"147,847",0,"377,392",0,"566,763",0,"887,274",0,"584,100",0,"206,317",0,"613,758",0,"121,461",0,"200,715",0,"201,651",0,"142,164",0,"582,956",0,"117,823",0,"1,323,937",0,"808,189",0,"84,416",0,"1,113,136",0,"343,359",0,"433,804",0,"1,163,230",0,"89,879",0,"397,637",0,"89,594",0,"641,925",0,"1,881,533",0,"368,586",0,"70,379",0,"682,114",0,"705,397",0,"201,540",0,"586,980",0,"110,223",0
        45 to 54 years,"24,818,270",0,"414,432",0,"52,376",0,"490,437",0,"256,813",0,"1,891,029",0,"503,390",0,"298,619",0,"69,891",0,"25,526",0,"1,437,451",0,"735,813",0,"36,015",0,"173,606",0,"967,506",0,"654,256",0,"307,353",0,"252,699",0,"474,060",0,"321,600",0,"155,809",0,"375,993",0,"610,799",0,"911,963",0,"531,798",0,"204,143",0,"565,189",0,"104,271",0,"172,549",0,"199,791",0,"156,966",0,"646,786",0,"103,762",0,"1,344,189",0,"854,951",0,"65,309",0,"1,131,290",0,"309,368",0,"392,985",0,"1,197,425",0,"95,625",0,"411,305",0,"78,733",0,"652,920",0,"1,696,130",0,"289,062",0,"70,958",0,"654,323",0,"636,801",0,"202,314",0,"577,446",0,"118,104",0
        55 to 64 years,"29,399,154",0,"472,004",0,"62,743",0,"600,937",0,"290,121",0,"2,266,003",0,"545,302",0,"395,698",0,"98,696",0,"19,624",0,"1,867,559",0,"788,710",0,"45,194",0,"197,474",0,"1,147,676",0,"738,784",0,"377,178",0,"305,750",0,"523,844",0,"378,510",0,"199,394",0,"467,567",0,"759,829",0,"1,125,561",0,"662,452",0,"230,174",0,"682,949",0,"132,517",0,"208,137",0,"234,520",0,"202,105",0,"809,766",0,"137,169",0,"1,642,755",0,"959,409",0,"82,782",0,"1,324,119",0,"360,175",0,"430,332",0,"1,483,636",0,"126,182",0,"481,486",0,"103,535",0,"722,575",0,"1,839,625",0,"260,697",0,"91,178",0,"753,598",0,"727,808",0,"232,165",0,"735,754",0,"119,254",0
        65 to 74 years,"25,084,150",0,"398,085",0,"49,449",0,"607,298",0,"255,766",0,"1,934,269",0,"465,369",0,"307,428",0,"95,579",0,"17,156",0,"1,861,287",0,"646,514",0,"48,593",0,"177,284",0,"928,643",0,"599,037",0,"317,425",0,"257,774",0,"429,196",0,"316,937",0,"174,424",0,"369,659",0,"608,212",0,"932,276",0,"527,213",0,"200,548",0,"557,870",0,"124,016",0,"176,693",0,"218,531",0,"158,216",0,"638,788",0,"146,903",0,"1,365,105",0,"825,002",0,"69,245",0,"1,100,254",0,"309,850",0,"430,488",0,"1,262,110",0,"101,794",0,"445,625",0,"90,317",0,"601,798",0,"1,517,682",0,"215,067",0,"78,711",0,"615,391",0,"641,626",0,"213,256",0,"593,889",0,"113,071",0
        75 to 84 years,"12,479,553",0,"207,411",0,"18,308",0,"346,991",0,"135,780",0,"993,089",0,"200,253",0,"155,215",0,"46,836",0,"8,752",0,"1,127,364",0,"323,546",0,"20,855",0,"82,035",0,"461,957",0,"284,146",0,"153,011",0,"124,831",0,"200,547",0,"151,956",0,"80,742",0,"189,301",0,"287,951",0,"431,146",0,"250,643",0,"103,925",0,"277,540",0,"56,032",0,"82,115",0,"106,701",0,"71,233",0,"322,884",0,"73,829",0,"697,458",0,"410,601",0,"32,565",0,"517,334",0,"158,280",0,"195,459",0,"616,750",0,"49,587",0,"217,848",0,"38,413",0,"297,095",0,"736,607",0,"99,098",0,"35,871",0,"308,657",0,"293,813",0,"101,358",0,"271,653",0,"78,263",0
        85 years and over,"4,704,078",0,"64,814",0,"4,420",0,"108,981",0,"45,638",0,"400,155",0,"69,854",0,"72,629",0,"14,452",0,"3,637",0,"401,453",0,"101,379",0,"7,426",0,"28,195",0,"185,067",0,"105,685",0,"67,456",0,"52,195",0,"69,066",0,"55,411",0,"28,340",0,"74,802",0,"131,732",0,"166,709",0,"103,703",0,"34,682",0,"104,673",0,"19,243",0,"36,518",0,"33,459",0,"24,985",0,"142,410",0,"24,297",0,"301,847",0,"136,023",0,"16,293",0,"200,763",0,"55,201",0,"70,690",0,"265,093",0,"21,663",0,"65,834",0,"17,315",0,"96,196",0,"254,670",0,"34,607",0,"13,181",0,"112,206",0,"105,997",0,"34,157",0,"108,711",0,"28,931",0
65 and Older,"42,267,781",0,"670,310",0,"72,177",0,"1,063,270",0,"437,184",0,"3,327,513",0,"735,476",0,"535,272",0,"156,867",0,"29,545",0,"3,390,104",0,"1,071,439",0,"76,874",0,"287,514",0,"1,575,667",0,"988,868",0,"537,892",0,"434,800",0,"698,809",0,"524,304",0,"283,506",0,"633,762",0,"1,027,895",0,"1,530,131",0,"881,559",0,"339,155",0,"940,083",0,"199,291",0,"295,326",0,"358,691",0,"254,434",0,"1,104,082",0,"245,029",0,"2,364,410",0,"1,371,626",0,"118,103",0,"1,818,351",0,"523,331",0,"696,637",0,"2,143,953",0,"173,044",0,"729,307",0,"146,045",0,"995,089",0,"2,508,959",0,"348,772",0,"127,763",0,"1,036,254",0,"1,041,436",0,"348,771",0,"974,253",0,"220,265",0
