,Age,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Puerto Rico
1,0-5 years,5.80,6.03,6.22,5.40,6.18,5.39,5.61,4.74,5.07,5.54,4.95,5.83,4.42,6.93,5.83,6.48,6.48,6.52,6.44,6.23,5.18,5.52,4.89,5.79,6.10,6.17,6.25,5.85,6.72,5.00,4.98,5.58,5.23,5.69,5.51,7.02,6.13,6.08,5.14,5.45,4.61,5.58,6.75,6.06,6.70,8.07,4.98,5.81,5.48,5.84,5.61,4.31
2,6-10 Years,5.26,5.42,5.49,4.86,5.62,4.72,5.14,4.54,4.62,3.24,4.43,5.42,4.57,6.69,5.39,5.74,5.84,5.99,5.78,5.64,4.69,5.03,4.49,5.25,5.47,5.50,5.57,5.70,6.07,4.85,4.64,4.99,5.18,4.95,5.00,6.06,5.47,5.60,4.91,4.93,4.21,5.16,6.10,5.43,6.17,7.69,4.63,5.28,5.07,5.38,5.10,4.70
3,11-17 years,7.95,8.40,8.09,7.12,8.72,7.31,7.81,7.26,6.80,3.15,6.76,8.58,5.03,9.69,7.86,8.81,8.68,8.77,8.74,8.49,7.32,7.65,7.11,8.08,8.22,8.87,8.41,7.94,8.99,7.14,7.52,8.02,6.82,7.48,7.72,8.60,8.25,8.48,7.45,7.59,6.52,7.74,8.67,8.02,8.92,11.28,7.52,7.80,7.44,8.18,8.04,7.74
4,18-34 years,20.96,20.44,22.74,20.13,20.45,21.09,23.65,19.92,18.93,38.84,18.18,21.37,22.72,21.07,20.58,21.65,21.15,21.55,21.23,20.65,19.46,20.36,22.15,20.98,20.26,20.22,21.10,21.14,21.30,19.26,20.99,19.31,19.54,21.33,21.14,23.90,21.03,21.14,20.86,20.33,22.16,20.34,20.66,21.39,22.11,25.11,21.61,21.58,21.47,19.72,20.50,21.17
5,35-49 years,18.62,18.59,20.43,17.48,18.59,19.15,20.43,17.67,16.94,24.83,16.74,19.03,19.45,18.69,19.06,18.61,18.22,18.31,18.95,19.23,18.18,18.73,18.05,18.06,19.16,18.64,18.77,18.48,18.63,19.33,18.06,17.90,17.77,18.11,18.76,18.17,18.43,19.03,19.89,18.16,17.75,18.28,17.84,19.00,19.32,19.38,18.00,19.22,19.92,18.72,18.51,18.50
6,50-64 years,20.60,20.70,20.44,19.95,19.78,20.79,19.43,23.15,21.92,12.76,21.18,20.65,19.77,18.36,20.99,20.08,19.69,19.37,20.26,20.16,22.34,21.72,22.04,21.26,20.92,20.09,20.22,19.66,19.11,21.44,22.97,22.38,19.80,21.00,21.05,17.92,20.74,19.67,19.78,21.46,22.43,20.82,19.77,20.58,19.02,15.30,21.54,20.58,20.36,20.61,21.65,19.49
7,65 and Older,20.82,20.42,16.59,25.07,20.66,21.55,17.93,22.73,25.73,11.64,27.76,19.12,24.05,18.57,20.28,18.63,19.95,19.49,18.60,19.60,22.84,20.99,21.27,20.57,19.87,20.51,19.68,21.22,19.17,22.99,20.83,21.81,25.66,21.45,20.82,18.33,19.96,20.00,21.98,22.09,22.31,22.09,20.21,19.52,17.76,13.17,21.72,19.73,20.26,21.56,20.59,24.08
